,pName,tradePrice,actualPrice,salePrice,brand,productLine,rating,technicalDetail,url
0, Samsung Galaxy S22 Ultra (12GB - 256GB) - Chỉ có tại CellphoneS ,18490000,33990000,18990000,,,5.0/5,[],https://cellphones.com.vn/samsung-galaxy-s22-ultra-12gb-256gb.html
0, iPhone 14 Pro Max 256GB | Chính hãng VN/A ,27190000,32990000,29190000,,,5.0/5,[],https://cellphones.com.vn/iphone-14-pro-max-256gb.html
0, iPhone 12 Pro Max 128GB I Chính hãng VN/A  ,,28990000,,,,4.9/5,[],https://cellphones.com.vn/iphone-12-pro-max.html
0, Samsung Galaxy S22 Ultra (8GB - 128GB) ,17490000,30990000,17990000,,,4.9/5,[],https://cellphones.com.vn/samsung-galaxy-s22-ultra.html
0, Samsung Galaxy S20 FE 256GB ,6750000,12490000,7250000,,,4.8/5,[],https://cellphones.com.vn/samsung-galaxy-s20-fe.html
0, Samsung Galaxy Z Flip4 128GB ,13990000,23990000,14490000,,,5.0/5,[],https://cellphones.com.vn/samsung-galaxy-z-flip-4.html
0, iPhone 12 64GB | Chính hãng VN/A  ,12990000,15990000,13990000,,,4.9/5,[],https://cellphones.com.vn/iphone-12.html
0, Xiaomi Redmi Note 12 Pro 5G ,8490000,9490000,8990000,,,4.8/5,[],https://cellphones.com.vn/xiaomi-redmi-note-12-pro-5g.html
0, iPhone 14 Plus 128GB | Chính hãng VN/A ,19390000,24990000,21390000,,,,[],https://cellphones.com.vn/iphone-14-plus.html
0, OnePlus Nord 3 5G 16GB 256GB ,9490000,11990000,11490000,,,,[],https://cellphones.com.vn/oneplus-nord-3.html
0, ASUS ROG Phone 7 Ultimate 16GB 512GB - Chỉ có tại CellphoneS ,27990000,,29990000,,,4.8/5,[],https://cellphones.com.vn/rog-phone-7-ultimate.html
0, Xiaomi 12T 8GB 128GB ,9290000,12490000,9790000,,,4.9/5,[],https://cellphones.com.vn/xiaomi-mi-12t.html
0, Tecno POVA 5 8GB 128GB ,,,,Tin đồn - Mới ra,,,[],https://cellphones.com.vn/tecno-pova-5.html
